Province_State,Country_Region,Date,ConfirmedCases,Fatalities,D1Confirm,D2Confirm,D1Fatalities,D2Fatalities,DaySince
Alabama,US,3/13/2020,5,0,5,5,0,0,-22
Alabama,US,3/14/2020,6,0,1,-4,0,0,-21
Alabama,US,3/15/2020,12,0,6,5,0,0,-20
Alabama,US,3/16/2020,29,0,17,11,0,0,-19
Alabama,US,3/17/2020,39,0,10,-7,0,0,-18
Alabama,US,3/18/2020,46,0,7,-3,0,0,-17
Alabama,US,3/19/2020,78,0,32,25,0,0,-16
Alabama,US,3/20/2020,83,0,5,-27,0,0,-15
Alabama,US,3/21/2020,131,0,48,43,0,0,-14
Alabama,US,3/22/2020,157,0,26,-22,0,0,-13
Alabama,US,3/23/2020,196,0,39,13,0,0,-12
Alabama,US,3/24/2020,242,0,46,7,0,0,-11
Alabama,US,3/25/2020,381,1,139,93,1,1,-10
Alabama,US,3/26/2020,517,1,136,-3,0,-1,-9
Alabama,US,3/27/2020,587,4,70,-66,3,3,-8
Alabama,US,3/28/2020,694,4,107,37,0,-3,-7
Alabama,US,3/29/2020,825,10,131,24,6,6,-6
Alabama,US,3/30/2020,899,10,74,-57,0,-6,-5
Alabama,US,3/31/2020,987,23,88,14,13,13,-4
Alabama,US,4/1/2020,1060,27,73,-15,4,-9,-3
Alabama,US,4/2/2020,1233,32,173,100,5,1,-2
Alabama,US,4/3/2020,1495,38,262,89,6,1,-1
Alabama,US,4/4/2020,1614,44,119,-143,6,0,0
Alabama,US,4/5/2020,1765,45,151,32,1,-5,1
Alabama,US,4/6/2020,1952,49,187,36,4,3,2
Alabama,US,4/7/2020,2169,64,217,30,15,11,3
Alabama,US,4/8/2020,2328,66,159,-58,2,-13,4
Alabama,US,4/9/2020,2703,70,375,216,4,2,5
Alabama,US,4/10/2020,2947,80,244,-131,10,6,6
Alabama,US,4/11/2020,3217,92,270,26,12,2,7
Alabama,US,4/12/2020,3563,93,346,76,1,-11,8
Alabama,US,4/13/2020,3734,99,171,-175,6,5,9
Alabama,US,4/14/2020,3953,114,219,48,15,9,10
Alabama,US,4/15/2020,4075,118,122,-97,4,-11,11
Alabama,US,4/16/2020,4345,133,270,148,15,11,12
Alabama,US,4/17/2020,4571,148,226,-44,15,0,13
Alabama,US,4/18/2020,4712,153,141,-85,5,-10,14
Alabama,US,4/19/2020,4888,157,176,35,4,-1,15
Alabama,US,4/20/2020,5079,163,191,15,6,2,16
Alabama,US,4/21/2020,5317,183,238,47,20,14,17
Alabama,US,4/22/2020,5593,196,276,38,13,-7,18
Alabama,US,4/23/2020,5832,202,239,-37,6,-7,19
Alabama,US,4/24/2020,6026,209,194,-45,7,1,20
Alabama,US,4/25/2020,6026,209,0,-194,0,-7,21
Alabama,US,4/26/2020,6421,219,395,395,10,10,22
Alabama,US,4/27/2020,6539,228,118,-277,9,-1,23
Alabama,US,4/28/2020,6750,242,211,93,14,5,24
Alabama,US,4/29/2020,6912,256,162,-49,14,0,25
Alabama,US,4/30/2020,7088,272,176,14,16,2,26
Alabama,US,5/1/2020,7294,289,206,30,17,1,27
Alabama,US,5/2/2020,7611,288,317,111,-1,-18,28
Alabama,US,5/3/2020,7888,290,277,-40,2,3,29
Alabama,US,5/4/2020,8112,298,224,-53,8,6,30
Alabama,US,5/5/2020,8437,315,325,101,17,9,31
Alabama,US,5/6/2020,8691,343,254,-71,28,11,32
Alabama,US,5/7/2020,9046,369,355,101,26,-2,33
Alabama,US,5/8/2020,9385,383,339,-16,14,-12,34
Alabama,US,5/9/2020,9668,390,283,-56,7,-7,35
Alaska,US,3/13/2020,1,0,1,1,0,0,-15
Alaska,US,3/15/2020,1,0,1,2,0,0,-13
Alaska,US,3/16/2020,1,0,0,-1,0,0,-12
Alaska,US,3/17/2020,3,0,2,2,0,0,-11
Alaska,US,3/18/2020,6,0,3,1,0,0,-10
Alaska,US,3/19/2020,9,0,3,0,0,0,-9
Alaska,US,3/20/2020,12,0,3,0,0,0,-8
Alaska,US,3/21/2020,15,0,3,0,0,0,-7
Alaska,US,3/22/2020,20,0,5,2,0,0,-6
Alaska,US,3/23/2020,30,0,10,5,0,0,-5
Alaska,US,3/24/2020,34,0,4,-6,0,0,-4
Alaska,US,3/25/2020,41,1,7,3,1,1,-3
Alaska,US,3/26/2020,56,1,15,8,0,-1,-2
Alaska,US,3/27/2020,58,1,2,-13,0,0,-1
Alaska,US,3/28/2020,85,2,27,25,1,1,0
Alaska,US,3/29/2020,102,2,17,-10,0,-1,1
Alaska,US,3/30/2020,114,3,12,-5,1,1,2
Alaska,US,3/31/2020,119,3,5,-7,0,-1,3
Alaska,US,4/1/2020,132,3,13,8,0,0,4
Alaska,US,4/2/2020,143,3,11,-2,0,0,5
Alaska,US,4/3/2020,157,3,14,3,0,0,6
Alaska,US,4/4/2020,171,5,14,0,2,2,7
Alaska,US,4/5/2020,185,6,14,0,1,-1,8
Alaska,US,4/6/2020,190,6,5,-9,0,-1,9
Alaska,US,4/7/2020,213,6,23,18,0,0,10
Alaska,US,4/8/2020,226,7,13,-10,1,1,11
Alaska,US,4/9/2020,235,7,9,-4,0,-1,12
Alaska,US,4/10/2020,246,7,11,2,0,0,13
Alaska,US,4/11/2020,257,8,11,0,1,1,14
Alaska,US,4/12/2020,272,8,15,4,0,-1,15
Alaska,US,4/13/2020,277,8,5,-10,0,0,16
Alaska,US,4/14/2020,285,9,8,3,1,1,17
Alaska,US,4/15/2020,293,9,8,0,0,-1,18
Alaska,US,4/16/2020,300,9,7,-1,0,0,19
Alaska,US,4/17/2020,309,9,9,2,0,0,20
Alaska,US,4/18/2020,314,9,5,-4,0,0,21
Alaska,US,4/19/2020,319,9,5,0,0,0,22
Alaska,US,4/20/2020,321,9,2,-3,0,0,23
Alaska,US,4/21/2020,329,9,8,6,0,0,24
Alaska,US,4/22/2020,335,9,6,-2,0,0,25
Alaska,US,4/23/2020,337,9,2,-4,0,0,26
Alaska,US,4/24/2020,339,9,2,0,0,0,27
Alaska,US,4/25/2020,339,9,0,-2,0,0,28
Alaska,US,4/26/2020,340,9,1,1,0,0,29
Alaska,US,4/27/2020,345,9,5,4,0,0,30
Alaska,US,4/28/2020,351,9,6,1,0,0,31
Alaska,US,4/29/2020,355,9,4,-2,0,0,32
Alaska,US,4/30/2020,355,9,0,-4,0,0,33
Alaska,US,5/1/2020,364,9,9,9,0,0,34
Alaska,US,5/2/2020,365,9,1,-8,0,0,35
Alaska,US,5/3/2020,368,9,3,2,0,0,36
Alaska,US,5/4/2020,370,9,2,-1,0,0,37
Alaska,US,5/5/2020,371,9,1,-1,0,0,38
Alaska,US,5/6/2020,372,10,1,0,1,1,39
Alaska,US,5/7/2020,374,10,2,1,0,-1,40
Alaska,US,5/8/2020,377,10,3,1,0,0,41
Alaska,US,5/9/2020,378,10,1,-2,0,0,42
Montana,US,3/11/2020,1,0,1,1,0,0,-17
Montana,US,3/12/2020,1,0,0,-1,0,0,-16
Montana,US,3/13/2020,1,0,0,0,0,0,-15
Montana,US,3/14/2020,5,0,4,4,0,0,-14
Montana,US,3/15/2020,7,0,2,-2,0,0,-13
Montana,US,3/16/2020,7,0,0,-2,0,0,-12
Montana,US,3/17/2020,9,0,2,2,0,0,-11
Montana,US,3/18/2020,11,0,2,0,0,0,-10
Montana,US,3/19/2020,11,0,0,-2,0,0,-9
Montana,US,3/20/2020,15,0,4,4,0,0,-8
Montana,US,3/21/2020,21,0,6,2,0,0,-7
Montana,US,3/22/2020,34,0,13,7,0,0,-6
Montana,US,3/23/2020,34,0,0,-13,0,0,-5
Montana,US,3/24/2020,51,0,17,17,0,0,-4
Montana,US,3/25/2020,65,0,14,-3,0,0,-3
Montana,US,3/26/2020,90,0,25,11,0,0,-2
Montana,US,3/27/2020,109,1,19,-6,1,1,-1
Montana,US,3/28/2020,129,1,20,1,0,-1,0
Montana,US,3/29/2020,154,1,25,5,0,0,1
Montana,US,3/30/2020,171,5,17,-8,4,4,2
Montana,US,3/31/2020,198,5,27,10,0,-4,3
Montana,US,4/1/2020,208,6,10,-17,1,1,4
Montana,US,4/2/2020,241,6,33,23,0,-1,5
Montana,US,4/3/2020,243,5,2,-31,-1,-1,6
Montana,US,4/4/2020,265,6,22,20,1,2,7
Montana,US,4/5/2020,286,6,21,-1,0,-1,8
Montana,US,4/6/2020,299,6,13,-8,0,0,9
Montana,US,4/7/2020,319,6,20,7,0,0,10
Montana,US,4/8/2020,332,6,13,-7,0,0,11
Montana,US,4/9/2020,354,6,22,9,0,0,12
Montana,US,4/10/2020,365,6,11,-11,0,0,13
Montana,US,4/11/2020,377,6,12,1,0,0,14
Montana,US,4/12/2020,387,6,10,-2,0,0,15
Montana,US,4/13/2020,394,7,7,-3,1,1,16
Montana,US,4/14/2020,399,7,5,-2,0,-1,17
Montana,US,4/15/2020,404,7,5,0,0,0,18
Montana,US,4/16/2020,415,7,11,6,0,0,19
Montana,US,4/17/2020,422,8,7,-4,1,1,20
Montana,US,4/18/2020,426,10,4,-3,2,1,21
Montana,US,4/19/2020,433,10,7,3,0,-2,22
Montana,US,4/20/2020,433,10,0,-7,0,0,23
Montana,US,4/21/2020,437,12,4,4,2,2,24
Montana,US,4/22/2020,439,14,2,-2,2,0,25
Montana,US,4/23/2020,442,14,3,1,0,-2,26
Montana,US,4/24/2020,444,14,2,-1,0,0,27
Montana,US,4/25/2020,445,14,1,-1,0,0,28
Montana,US,4/26/2020,448,14,3,2,0,0,29
Montana,US,4/27/2020,449,14,1,-2,0,0,30
Montana,US,4/28/2020,451,15,2,1,1,1,31
Montana,US,4/29/2020,451,16,0,-2,1,0,32
Montana,US,4/30/2020,453,16,2,2,0,-1,33
Montana,US,5/1/2020,453,16,0,-2,0,0,34
Montana,US,5/2/2020,455,16,2,2,0,0,35
Montana,US,5/3/2020,455,16,0,-2,0,0,36
Montana,US,5/4/2020,455,16,2,2,0,0,37
Montana,US,5/5/2020,456,16,-1,-3,0,0,38
Montana,US,5/6/2020,456,16,0,1,0,0,39
Montana,US,5/7/2020,456,16,0,0,0,0,40
Montana,US,5/8/2020,458,16,2,2,0,0,41
Montana,US,5/9/2020,458,16,0,-2,0,0,42
