Country_Region,continent,geo_region,country_iso_code_3,ConfirmedCases,Fatalities,Log10Confirmed,Log10Fatalities
Italy,Europe,Southern Europe,ITA,105792.0,12428.0,5.02445693270912,4.094436188017956
Spain,Europe,Southern Europe,ESP,95923.0,8464.0,4.981927280408841,3.927626962444954
US,Americas,Northern America,USA,188018.0,3870.0,5.274201738509507,3.5878231713189552
France,Europe,Western Europe,FRA,52827.0,3532.0,4.722864169168759,3.5481436374348454
China,Asia,Eastern Asia,CHN,82279.0,3309.0,4.9152942830226865,3.519827993775719
Iran,Asia,Southern Asia,IRN,44605.0,2898.0,4.649393280049168,3.4622482153549976
United Kingdom,Europe,Northern Europe,GBR,25471.0,1793.0,4.406063046057575,3.2538224387080734
Netherlands,Europe,Western Europe,NLD,12667.0,1040.0,4.102708054699875,3.017450729510536
Germany,Europe,Western Europe,DEU,71808.0,775.0,4.856178878857711,2.8898617212581885
Belgium,Europe,Western Europe,BEL,12775.0,705.0,4.106394903130426,2.8488047010518036
Switzerland,Europe,Western Europe,CHE,16605.0,433.0,4.220265033587232,2.637489729512511
Turkey,Asia,Western Asia,TUR,13531.0,214.0,4.131361989115943,2.3324384599156054
Brazil,Americas,South America,BRA,5717.0,201.0,3.75724415102197,2.305351369446624
Sweden,Europe,Northern Europe,SWE,4435.0,180.0,3.6469915374771222,2.2576785748691846
Korea South,Asia,Eastern Asia,KOR,9786.0,162.0,3.9906495883188544,2.2121876044039577
Portugal,Europe,Southern Europe,PRT,7443.0,160.0,3.8718063644587293,2.2068258760318495
Indonesia,Asia,South-Eastern Asia,IDN,1528.0,136.0,3.1844074854123203,2.1367205671564067
Austria,Europe,Western Europe,AUT,10180.0,128.0,4.007790437445979,2.110589710299249
Canada,Americas,Northern America,CAN,8508.0,100.0,3.9298785236567833,2.0043213737826426
Denmark,Europe,Northern Europe,DNK,3039.0,90.0,3.482873583608754,1.9590413923210936
Philippines,Asia,South-Eastern Asia,PHL,2084.0,88.0,3.3191060593097763,1.9493900066449128
Romania,Europe,Eastern Europe,ROU,2245.0,82.0,3.351409751925439,1.919078092376074
Ecuador,Americas,South America,ECU,2240.0,75.0,3.350441856535061,1.8808135922807914
Ireland,Europe,Northern Europe,IRL,3235.0,71.0,3.5100085129402347,1.8573324964312685
Japan,Asia,Eastern Asia,JPN,1953.0,56.0,3.2909245593827543,1.7558748556724915
Dominican Republic,Americas,Caribbean,DOM,1109.0,51.0,3.0453229787866576,1.7160033436347992
Iraq,Asia,Western Asia,IRQ,694.0,50.0,2.8419848045901137,1.7075701760979363
Greece,Europe,Southern Europe,GRC,1314.0,49.0,3.1189257528257768,1.6989700043360187
Egypt,Africa,Northern Africa,EGY,710.0,46.0,2.851869600729766,1.6720978579357175
Algeria,Africa,Northern Africa,DZA,716.0,44.0,2.8555191556678,1.6532125137753437
Malaysia,Asia,South-Eastern Asia,MYS,2766.0,43.0,3.442009159140952,1.6434526764861874
Norway,Europe,Northern Europe,NOR,4641.0,39.0,3.666705136119899,1.6020599913279623
Morocco,Africa,Northern Africa,MAR,617.0,36.0,2.790988475088816,1.568201724066995
India,Asia,Southern Asia,IND,1397.0,35.0,3.1455071714096627,1.5563025007672873
Poland,Europe,Eastern Europe,POL,2311.0,33.0,3.3639878297484915,1.5314789170422551
Czechia,Europe,Eastern Europe,CZE,3308.0,31.0,3.519696767159853,1.505149978319906
Panama,Americas,Central America,PAN,1181.0,30.0,3.0726174765452368,1.4913616938342726
Peru,Americas,South America,PER,1065.0,30.0,3.0277572046905536,1.4913616938342726
Mexico,Americas,Central America,MEX,1094.0,28.0,3.0394141191761372,1.462397997898956
Argentina,Americas,South America,ARG,1054.0,27.0,3.0232524596337114,1.4471580313422192
San Marino,Europe,Southern Europe,SMR,236.0,26.0,2.374748346010104,1.4313637641589874
Pakistan,Asia,Southern Asia,PAK,1938.0,26.0,3.2875778090787056,1.4313637641589874
Luxembourg,Europe,Western Europe,LUX,2178.0,23.0,3.3382572302462554,1.380211241711606
Israel,Asia,Western Asia,ISR,5358.0,20.0,3.729083757043612,1.3222192947339193
Australia,Oceania,Australia and New Zealand,AUS,4559.0,18.0,3.658964842664435,1.2787536009528289
Finland,Europe,Northern Europe,FIN,1418.0,17.0,3.151982395457474,1.255272505103306
Ukraine,Europe,Eastern Europe,UKR,645.0,17.0,2.8102325179950842,1.255272505103306
Russia,Europe,Eastern Europe,RUS,2337.0,17.0,3.3688445068258215,1.255272505103306
Hungary,Europe,Eastern Europe,HUN,492.0,16.0,2.69284691927723,1.2304489213782739
Colombia,Americas,South America,COL,906.0,16.0,2.957607287060095,1.2304489213782739
Serbia,Europe,Southern Europe,SRB,900.0,16.0,2.954724790979063,1.2304489213782739
Albania,Europe,Southern Europe,ALB,243.0,15.0,2.387389826338729,1.2041199826559248
Slovenia,Europe,Southern Europe,SVN,802.0,15.0,2.904715545278681,1.2041199826559248
Burkina Faso,Africa,Western Africa,BFA,261.0,14.0,2.4183012913197452,1.1760912590556813
Bosnia and Herzegovina,Europe,Southern Europe,BIH,420.0,13.0,2.6242820958356683,1.146128035678238
Lebanon,Asia,Western Asia,LBN,470.0,12.0,2.673020907128896,1.1139433523068367
Andorra,Europe,Southern Europe,AND,376.0,12.0,2.576341350205793,1.1139433523068367
Chile,Americas,South America,CHL,2738.0,12.0,3.4375920322539613,1.1139433523068367
Diamond Princess,#N/A,#N/A,#N/A,712.0,10.0,2.8530895298518657,1.0413926851582251
Saudi Arabia,Asia,Western Asia,SAU,1563.0,10.0,3.1942367487238292,1.0413926851582251
Thailand,Asia,South-Eastern Asia,THA,1651.0,10.0,3.218010042984363,1.0413926851582251
Tunisia,Africa,Northern Africa,TUN,394.0,10.0,2.59659709562646,1.0413926851582251
North Macedonia,Europe,Southern Europe,MKD,329.0,9.0,2.5185139398778875,1.0
Bulgaria,Europe,Eastern Europe,BGR,399.0,8.0,2.6020599913279625,0.9542425094393249
Congo (Kinshasa),Africa,Middle Africa,COD,98.0,8.0,1.99563519459755,0.9542425094393249
Cyprus,Asia,Western Asia,CYP,262.0,8.0,2.419955748489758,0.9542425094393249
Lithuania,Europe,Northern Europe,LTU,537.0,8.0,2.7307822756663893,0.9542425094393249
Honduras,Americas,Central America,HND,141.0,7.0,2.1522883443830563,0.9030899869919435
Cuba,Americas,Caribbean,CUB,186.0,6.0,2.271841606536499,0.8450980400142568
Bolivia,Americas,South America,BOL,107.0,6.0,2.03342375548695,0.8450980400142568
Cameroon,Africa,Middle Africa,CMR,193.0,6.0,2.287801729930226,0.8450980400142568
United Arab Emirates,Asia,Western Asia,ARE,664.0,6.0,2.8228216453031045,0.8450980400142568
Croatia,Europe,Southern Europe,HRV,867.0,6.0,2.938519725176492,0.8450980400142568
Bangladesh,Asia,Southern Asia,BGD,51.0,5.0,1.7160033436347992,0.7781512503836436
Taiwan*,Asia,Eastern Asia,TWN,322.0,5.0,2.509202522331103,0.7781512503836436
Azerbaijan,Asia,Western Asia,AZE,298.0,5.0,2.4756711883244296,0.7781512503836436
Mauritius,Africa,Eastern Africa,MUS,143.0,5.0,2.1583624920952498,0.7781512503836436
Ghana,Africa,Western Africa,GHA,161.0,5.0,2.2095150145426308,0.7781512503836436
South Africa,Africa,Southern Africa,ZAF,1353.0,5.0,3.1316186643491255,0.7781512503836436
Jordan,Asia,Western Asia,JOR,274.0,5.0,2.439332693830263,0.7781512503836436
Moldova,Europe,Eastern Europe,MDA,353.0,4.0,2.5490032620257876,0.6989700043360189
Afghanistan,Asia,Southern Asia,AFG,174.0,4.0,2.2430380486862944,0.6989700043360189
Estonia,Europe,Northern Europe,EST,745.0,4.0,2.8727388274726686,0.6989700043360189
Bahrain,Asia,Western Asia,BHR,567.0,4.0,2.754348335711019,0.6989700043360189
Armenia,Asia,Western Asia,ARM,532.0,3.0,2.7267272090265724,0.6020599913279624
Paraguay,Americas,South America,PRY,65.0,3.0,1.8195439355418688,0.6020599913279624
Niger,Africa,Western Africa,NER,27.0,3.0,1.4471580313422192,0.6020599913279624
Trinidad and Tobago,Americas,Caribbean,TTO,87.0,3.0,1.9444826721501687,0.6020599913279624
Venezuela,Americas,South America,VEN,135.0,3.0,2.1335389083702174,0.6020599913279624
Singapore,Asia,South-Eastern Asia,SGP,926.0,3.0,2.967079734144497,0.6020599913279624
Costa Rica,Americas,Central America,CRI,347.0,2.0,2.5415792439465807,0.47712125471966244
Montenegro,Europe,Southern Europe,MNE,109.0,2.0,2.041392685158225,0.47712125471966244
Sri Lanka,Asia,Southern Asia,LKA,143.0,2.0,2.1583624920952498,0.47712125471966244
Mali,Africa,Western Africa,MLI,28.0,2.0,1.462397997898956,0.47712125471966244
Angola,Africa,Middle Africa,AGO,7.0,2.0,0.9030899869919435,0.47712125471966244
Nigeria,Africa,Western Africa,NGA,135.0,2.0,2.1335389083702174,0.47712125471966244
Syria,Asia,Western Asia,SYR,10.0,2.0,1.0413926851582251,0.47712125471966244
Sudan,Africa,Northern Africa,SDN,7.0,2.0,0.9030899869919435,0.47712125471966244
Guyana,Americas,South America,GUY,12.0,2.0,1.1139433523068367,0.47712125471966244
Iceland,Europe,Northern Europe,ISL,1135.0,2.0,3.055378331375,0.47712125471966244
Uzbekistan,Asia,Central Asia,UZB,172.0,2.0,2.2380461031287955,0.47712125471966244
Kazakhstan,Asia,Central Asia,KAZ,343.0,2.0,2.53655844257153,0.47712125471966244
Qatar,Asia,Western Asia,QAT,781.0,2.0,2.893206753059848,0.47712125471966244
Oman,Asia,Western Asia,OMN,192.0,1.0,2.285557309007774,0.3010299956639812
Uruguay,Americas,South America,URY,338.0,1.0,2.530199698203082,0.3010299956639812
Nicaragua,Americas,Central America,NIC,5.0,1.0,0.7781512503836436,0.3010299956639812
New Zealand,Oceania,Australia and New Zealand,NZL,647.0,1.0,2.8115750058705933,0.3010299956639812
Togo,Africa,Western Africa,TGO,34.0,1.0,1.5440680443502757,0.3010299956639812
Tanzania,Africa,Eastern Africa,TZA,19.0,1.0,1.3010299956639813,0.3010299956639812
Kenya,Africa,Eastern Africa,KEN,59.0,1.0,1.7781512503836436,0.3010299956639812
Zimbabwe,Africa,Eastern Africa,ZWE,8.0,1.0,0.9542425094393249,0.3010299956639812
Belarus,Europe,Eastern Europe,BLR,152.0,1.0,2.184691430817599,0.3010299956639812
Gabon,Africa,Middle Africa,GAB,16.0,1.0,1.2304489213782739,0.3010299956639812
Gambia,Africa,Western Africa,GMB,4.0,1.0,0.6989700043360189,0.3010299956639812
El Salvador,Americas,Central America,SLV,32.0,1.0,1.5185139398778875,0.3010299956639812
Cote d'Ivoire,Africa,Western Africa,CIV,179.0,1.0,2.255272505103306,0.3010299956639812
Guatemala,Americas,Central America,GTM,38.0,1.0,1.591064607026499,0.3010299956639812
Cabo Verde,Africa,Western Africa,CPV,6.0,1.0,0.8450980400142568,0.3010299956639812
Brunei,Asia,South-Eastern Asia,BRN,129.0,1.0,2.113943352306837,0.3010299956639812
Jamaica,Americas,Caribbean,JAM,36.0,1.0,1.568201724066995,0.3010299956639812
Monaco,Europe,Western Europe,MCO,52.0,1.0,1.724275869600789,0.3010299956639812
Mauritania,Africa,Western Africa,MRT,6.0,1.0,0.8450980400142568,0.3010299956639812
Belize,Americas,Central America,BLZ,3.0,0.0,0.6020599913279624,0.0
Benin,Africa,Western Africa,BEN,9.0,0.0,1.0,0.0
Zambia,Africa,Eastern Africa,ZMB,35.0,0.0,1.5563025007672873,0.0
Eswatini,Africa,Southern Africa,SWZ,9.0,0.0,1.0,0.0
Vietnam,Asia,South-Eastern Asia,VNM,212.0,0.0,2.3283796034387376,0.0
Eritrea,Africa,Eastern Africa,ERI,15.0,0.0,1.2041199826559248,0.0
Equatorial Guinea,Africa,Middle Africa,GNQ,12.0,0.0,1.1139433523068367,0.0
Suriname,Americas,South America,SUR,9.0,0.0,1.0,0.0
Dominica,Americas,Caribbean,DMA,12.0,0.0,1.1139433523068367,0.0
Djibouti,Africa,Eastern Africa,DJI,30.0,0.0,1.4913616938342726,0.0
Antigua and Barbuda,Americas,Caribbean,ATG,7.0,0.0,0.9030899869919435,0.0
Congo (Brazzaville),Africa,Middle Africa,COG,19.0,0.0,1.3010299956639813,0.0
Chad,Africa,Middle Africa,TCD,7.0,0.0,0.9030899869919435,0.0
Timor-Leste,Asia,South-Eastern Asia,TLS,1.0,0.0,0.3010299956639812,0.0
Central African Republic,Africa,Middle Africa,CAF,3.0,0.0,0.6020599913279624,0.0
Somalia,Africa,Eastern Africa,SOM,5.0,0.0,0.7781512503836436,0.0
Cambodia,Asia,South-Eastern Asia,KHM,109.0,0.0,2.041392685158225,0.0
Bahamas,Americas,Caribbean,BHS,14.0,0.0,1.1760912590556813,0.0
Barbados,Americas,Caribbean,BRB,34.0,0.0,1.5440680443502757,0.0
Bhutan,Asia,Southern Asia,BTN,4.0,0.0,0.6989700043360189,0.0
Uganda,Africa,Eastern Africa,UGA,44.0,0.0,1.6532125137753437,0.0
Ethiopia,Africa,Eastern Africa,ETH,26.0,0.0,1.4313637641589874,0.0
Mongolia,Asia,Eastern Asia,MNG,12.0,0.0,1.1139433523068367,0.0
Fiji,Oceania,Melanesia,FJI,5.0,0.0,0.7781512503836436,0.0
Slovakia,Europe,Eastern Europe,SVK,363.0,0.0,2.561101383649056,0.0
Namibia,Africa,Southern Africa,NAM,11.0,0.0,1.0791812460476249,0.0
Nepal,Asia,Southern Asia,NPL,5.0,0.0,0.7781512503836436,0.0
Malta,Europe,Southern Europe,MLT,169.0,0.0,2.230448921378274,0.0
Maldives,Asia,Southern Asia,MDV,18.0,0.0,1.2787536009528289,0.0
Madagascar,Africa,Eastern Africa,MDG,57.0,0.0,1.7634279935629373,0.0
Liechtenstein,Europe,Western Europe,LIE,68.0,0.0,1.8388490907372552,0.0
Libya,Africa,Northern Africa,LBY,10.0,0.0,1.0413926851582251,0.0
Liberia,Africa,Western Africa,LBR,3.0,0.0,0.6020599913279624,0.0
Latvia,Europe,Northern Europe,LVA,398.0,0.0,2.6009728956867484,0.0
Laos,Asia,South-Eastern Asia,LAO,9.0,0.0,1.0,0.0
Papua New Guinea,Oceania,Melanesia,PNG,1.0,0.0,0.3010299956639812,0.0
Kyrgyzstan,Asia,Central Asia,KGZ,107.0,0.0,2.03342375548695,0.0
Kuwait,Asia,Western Asia,KWT,289.0,0.0,2.462397997898956,0.0
Holy See,Europe,Southern Europe,VAT,6.0,0.0,0.8450980400142568,0.0
Haiti,Americas,Caribbean,HTI,15.0,0.0,1.2041199826559248,0.0
Guinea-Bissau,Africa,Western Africa,GNB,8.0,0.0,0.9542425094393249,0.0
Guinea,Africa,Western Africa,GIN,22.0,0.0,1.3617278360175928,0.0
Rwanda,Africa,Eastern Africa,RWA,75.0,0.0,1.8808135922807914,0.0
Saint Kitts and Nevis,Americas,Caribbean,KNA,8.0,0.0,0.9542425094393249,0.0
Saint Lucia,Americas,Caribbean,LCA,13.0,0.0,1.146128035678238,0.0
Saint Vincent and the Grenadines,Americas,Caribbean,VCT,1.0,0.0,0.3010299956639812,0.0
Grenada,Americas,Caribbean,GRD,9.0,0.0,1.0,0.0
Georgia,Asia,Western Asia,GEO,110.0,0.0,2.0453229787866576,0.0
Senegal,Africa,Western Africa,SEN,175.0,0.0,2.24551266781415,0.0
Mozambique,Africa,Eastern Africa,MOZ,8.0,0.0,0.9542425094393249,0.0
Seychelles,Africa,Eastern Africa,SYC,10.0,0.0,1.0413926851582251,0.0
